1,In quale periodo è cacciabile   il coniglio selvatico ai sensi dell'art. 18 della legge 157/92?,dalla terza domenica di settembre al 31 gennaio,dalla terza domenica di settembre al 31 dicembre,"mai, si può fare solo attività di controllo",1
31,"Ai sensi dell'art. 19 della legge 157/92, la tutela del suolo è elencata fra le motivazioni per le quali si può prevedere il controllo della fauna selvatica?",sì,no,"sì, ma solo ove ci sia dissesto idrogeologico",0
32,Dove si rifugia la minilepre?, in tane profonde scavate nei suoli sabbiosi,non scava tane ma si rifugia nel  fitto del sottobosco,si accovaccia in campo aperto per avvistare da lontano i pericoli,1
33,In quali orari è maggiormente attiva la minilepre?,diurni,diurni e notturni,crepuscolari e notturni,2
34,"Se in una gabbia trappola a scatto viene preso un esemplare di una specie non target del piano di controllo, cosa si deve fare:",telefonare all'ufficio regionale per ricevere istruzioni,rimetterlo in libertà più rapidamente possibile,sopprimerlo comunque,1
35,Quanto dura normalmente la gestazione nella minilepre?,circa 30 giorni,circa 20 giorni,circa 50 giorni,0
36,Da quale continente proviene la  minilepre?,Asia,America,Australia,1
37,Il conteggio delle pallottole fecali (pellet count) della minilepre è:,un metodo di conteggio indiretto,un metodo di conteggio diretto,un metodo di conteggio non utilizzato per i Leporidi,0
38,Una minilepre adulta pesa mediamente:,800-1600 grammi,400-600 grammi,1500-3200 grammi,0
39,Qual è il più comune metodo di conteggio diretto di una popolazione di minilepre?,conteggio delle pallottole fecali (pellet count),analisi dei carnieri ottenuti in nattività venatoria,censimento notturno con faro,2
40,Qual è il senso più sviluppato nella minilepre?,l'udito,la vista,l'odorato,0
41,"Quale fra le seguenti specie, non fa parte della Famiglia dei Leporidi?",lepre sarda,donnola,lepre comune,1
42,Quali impatti provoca la minilepre sulla biodiversità?,predazione di uova dai nidi di uccelli al suolo,non vi sono impatti documentati sulla biodiversità provocati dal minilepre,significativa competizione spaziale con la lepre comune,2
43,"In quanto specie alloctona, la gestione della minilepre:",può essere finalizzata all'eradicazione,è finalizzata al solo contenimento delle popolazioni,deve essere finalizzata all'eradicazione,2
44,"Ai sensi dell'art. 19 della legge 157/92, la tutela delle produzioni ittiche è elencata fra le motivazioni per le quali si può prevedere il controllo della fauna selvatica?","sì, ma solo negli allevamenti ittici",sì ,no,1
45,Gli esemplari di minilepre eventualmente catturati vivi:,devono essere soppressi,devono essere liberati in altri territori,devono essere trattenuti in cattività,0
46,Qual è il metodo di funzionamento delle gabbie trappola con chiusura a scatto?,Lo sportello di accesso si chiude dopo l'ingresso dell'animale in quanto azionato da un operatore,Lo sportello di accesso si chiude dopo l'ingresso dell'animale in quanto azionato involontariamente dallo stesso,Lo sportello di accesso si chiude dopo l'ingresso dell'animale grazie a una fotocellula,1
47,"Ai sensi dell'art. 19 della legge 157/92, la selezione biologica è elencata fra le motivazioni per le quali si può prevedere il controllo della fauna selvatica?",no,"sì, ma solo per tutelare specie particolarmente protette",sì ,2
48,Quale specie di Leporide è particolarmente protetta ai sensi della legge 157/92?,lepre sarda,nessuna,lepre bianca o variabile,1
49,E' lecito impiegare esche avvelenate per effettuare il controllo dei Leporidi?,"sì, sempre","sì, ma solo se autorizzati dalla Polizia provinciale","no, mai",2
50,Il piano di controllo della minilepre in un'area a riserva naturale regionale:,viene redatto  dall'ente gestore della riserva,viene redatto dalla Provincia competente per territorio,viene redatto dal Ministero dell'Ambiente,0
51,E' lecito impiegare lacci per effettuare il controllo della minilepre?,"sì, ma solo se autorizzati dalla Polizia provinciale","sì, sempre","no, mai",2
52,Silvilago e minilepre sono:,due specie differenti,l'uno sottospecie dell'altra,la stessa specie,2
53,Come viene quantificata la presenza di minilepre in un territorio?,Tramite indici chilometrici di abbondanza (IKA),Normalmente vengono fatti censimenti precisi per avere il numero esatto di individui,Tramite stime di dati pregressi,0
54,Dove nascono i piccoli di minilepre?,All'interno di tane profonde,In un nido profondo circa 10-15 cm e coperto da vegetazione secca e pelo,In ampi spazi aperti come le zone agricole,1
55,Da cosa dipende l'home range della minilepre?,Dalla densità della popolazione,Dalla presenza o meno di fonti d'acqua,Dalla vicinanza ai centri abitati,0
56,"Normalmente, dopo l'accoppiamento della minilepre, quanti giorni passano prima del parto?",14,28,42,1
57,Quali sono le differenze fenotipiche tra il maschio e la femmina di minilepre?,"La femmina in genere ha dimensioni leggermente più grandi del maschio, anche se spesso non sono percettibili",Vi è una marcata differenza di colorazione tra la femmina e il maschio,Le dimensioni delle zampe sono sempre diagnostiche,0
58,"La minilepre, da un punto di vista ecologico è:",Molto adattabile,Scarsamente adattabile,Per nulla adattabile,0
59,"Qual è l'obiettivo del controllo? 
",contenimento di danni  arrecati dalla fauna selvatica omeoterma.,"contenimento di danni, opportunamente quantificati e localizzati, arrecati dalla fauna selvatica omeoterma.",contenimento delle popolazioni di fauna selvatica omeoterma,1
60,Il controllo faunistico , è un intervento di natura eccezionale utile per ridurre danni temporalmente e spazialmente circoscritti. ,rappresenta una forma di utilizzo della fauna, è un intervento di routine utile per ridurre danni sul territorio,0
1,Gli interventi di controllo possono essere effettuati da: ,Polizia provinciale e polizia di Città Metropolitana di Milano,unicamente dalla Polizia di Città Metropolitana di Milano,unicamente dai cacciatori,0
2,Quali sono le caratteristiche del territorio per avere dei conteggi notturni efficaci?,"Ambienti molto aperti, senza presenza di vegetazione",Ambienti con presenza di vegetazione da entrambi i lati,"Ambienti anche cespugliati, ma non boschivi",0
3,Quali sono i risultati dei censimenti notturni della volpe?,Indici di abbondanza relativi,Indici di densità assoluta,Densità delle tane,0
4,Cosa sono le ghiandole interdigitali della volpe?,ghiandole odorifere presenti nel muso,ghiandole odorifere presenti nella pianta delle zampe,ghiandole odorifere presenti nella zona anale con cui marcano il territorio,1
5,Qual è l'Habitat d'elezione della Volpe?,boschi di latifoglie,Zone golenali dei fiumi,La volpe è un animale con una forte adattabilità e gli habitat che frequenta sono molteplici,2
6,In che zone è presente la Volpe a livello Italiano,In tutto il territorio,Solo in Nord-Italia,In tutta Italia ad esclusione delle isole,0
7,In che zone è presente la volpe in Lombardia?,Solo in pianura,In tutto il territorio,Solo in collina con alcuni sporadici avvistamenti in montagna,1
8,Cos'è il surplus killing?,Comportamento predatorio in cui vengono uccise specie diverse rispetto a quelle abituali,Comportamento predatorio in cui vengono uccise specie domestiche,Comportamento predatorio in cui vengono uccise più prede rispetto al soddisfacimento delle necessità alimentari,2
9,Le Guardie Venatorie Volontarie (GVV) delle Provincie e di Città Metropolitana di Milano e delle Associazioni venatorie (AAVV):,possono effettuare gli interventi di controllo  solo nelle aziende faunistiche,non possono mai effettuare gli interventi di controllo  ,possono effettuare gli interventi di controllo  ,2
10,La rabbia silvestre:,"è una malattia densità -  dipendente, ovvero i contagiati aumentano con l'aumentare della popolazione","è una malattia densità -  dipendente, ovvero i contagiati diminuiscono con l'aumentare della popolazione","è una malattia densità -  indipendente, ovvero i contagiati non aumentano con l'aumentare della popolazione",0
11,Come si identificano i giovani al di sotto dei 15 mesi rispetto agli adulti con tutta sicurezza?,Analisi della struttura dentaria,Radiografia dei canini,Analisi fenotipica del pelo,1
12,Verso quale mese i cuccioli cominciano a diventare indipendenti?,2°-3° mese,4°-5°mese,6°-7° mese,1
13,Quanto dura lo svezzamento dei cuccioli della volpe?,2 settimane,4-6 settimane,8-10 settimane,2
14,Quanto dura in media la gestazione della volpe?,3 settimane,5 settimane,51-52 giorni,2
15,In che mese avviene normalmente il parto?,Gennaio-Febbraio,Marzo-Aprile,Giugno-Luglio,1
16,0 che età i volpacchiotti cominciano ad accompagnare la madre nelle attività di caccia?,Già dal 4° mese,Dal 6° mese,Dall'8° mese,0
17,La rabbia silvestre:,è una malattia specifica della sola volpe,è trasmissibile ad altri mammiferi ma non all'uomo,è trasmissibile a diverse altre specie di mammiferi incluso l'uomo,2
18,La volpe è un animale:,territoriale,non territoriale,solo la femmina è territoriale,0
19,A quanto ammonta il fabbisogno giornaliero di cibo della volpe?,100g,500g,1000g,1
20,"Nei siti Natura 2000, il controllo della fauna selvatica compete ",all’ente gestore del Sito Natura 2000,alla Regione,ai carabinieri forestali,0
21,La maturità sessuale della volpe viene raggiunta:,dopo i primi 4 mesi,Dopo il primo anno ,Dopo i primi 22 mesi,1
22,Quanti periodi di estro ha normalmente la femmina della volpe?,1,2,3,0
23,Quanto dura normalmente l'estro nella femmina di volpe?,1-6 giorni,1-2 giorni,6-8 giorni,0
24,L'home-range della volpe:,è inversamente proporzionale alla disponibilità di cibo,è direttamente proporzionale alla disponibilità di cibo,dipende esclusivamente dalla gerarchia dei maschi,0
25,Le discariche e le piazzole ecologiche:,Non sono luoghi frequentati dalle volpi,possono essere cause dell'incremento delle popolazioni delle volpi in quanto possono diventare fonte di cibo,La gestione di questi siti non influisce sulla presenza o meno delle volpi,1
26,In quali mesi possono venire effettuati gli abbattimenti diretti in tana?,Aprile - Agosto,Tutto l'anno,Settembre - Marzo,0
27,In quali mesi possono venire effettuati gli abbattimenti diretti fuori tana?,Aprile - Agosto,Tutto l'anno,Settembre - Marzo,2
28,Quando vengono preferite le catture con trappole rispetto all'abbattimento diretto per le operazioni di controllo?,Nelle zone agricole,Nelle zone boschive,Nelle aree urbane,2
29,I territori vitali e i territori di caccia della volpe:,Sono coincidenti,"Normalmente non coincidono, inoltre alcuni territori di caccia possono essere frequentati da altre volpi",I territori vitali si trovano all'interno dei territori di caccia,1
30,In quale stagione avviene la rottura del nucleo familiare?,Primavera,Estate,Autunno,2
31,Quanto dura normalmente il periodo di fertilità nella femmina della volpe?,1 giorno,2-4 giorni,5-6 giorni,1
32,Qual è la metodologia migliore per la vaccinazione delle volpi contro la rabbia silvestre?,"La rabbia non ha, ad oggi, alcun vaccino efficace",Cattura e iniezione tramite siringa,Vaccinazione orale tramite esche con capsula,2
33,La volpe è un animale:,"Prettamente notturno, ad eccezione dei mesi invernali in cui è attiva tutte le 24 ore","Prettamente notturno, ad eccezione dei mesi estivi in cui è attiva tutte le 24 ore",Prettamente diurno ad eccezione dei mesi invernali in cui è attiva anche di notte,0
34,Quanti piccoli partorisce mediamente la volpe?,dai 3 agli 8,1 o 2,9 o 10,0
35,La tana della volpe:,è formata da numerose gallerie che convergono in una camera centrale,è formata da una galleria con un unico accesso,viene costruita solo sugli argini fluviali,0
36,La tana della volpe:,le gallerie sono lunghe al massimo 5 metri,"può essere condivisa con altre specie, come il tasso",può ospitare all'interno numerose famiglie di volpe,1
37,"qual è l'obiettivo del controllo?",contenimento di danni  arrecati dalla fauna selvatica omeoterma.,"contenimento di danni, opportunamente quantificati e localizzati, arrecati dalla fauna selvatica omeoterma.",contenimento delle popolazioni di fauna selvatica omeoterma,1
38,La volpe è un'animale:,frugivoro,carnivoro,onnivoro,2
39,Quale tra queste rappresenta una porzione significativa della dieta della volpe:,Dipende dalle disponibilità trofiche,pesci,uccelli,0
40,"Ai sensi dell'art. 19 della legge 157/92, le attività di controllo:",non costituiscono attività venatoria,costituiscono attività venatoria,la differenza fra le due attività non viene trattata,0
41,"Ai sensi dell'art. 19 bis della legge 157/92, le attività di controllo possono venire svolte:",Solo per la tutela della biodiversità,Solo per questioni igienico - sanitarie,per la migliore gestione del patrimonio zootecnico,2
42,Quali sono i sensi più sviluppati nella volpe?,Udito e olfatto,Vista,Solo l'olfatto,0
43,In quali articoli della legge 157/92 sono contenute le disposizioni per il controllo della fauna selvatica?,articoli 19 e 19-bis,articoli 19 e 20,articoli 18 e 19,0
44,Lo stato di conservazione della volpe secondo le liste rosse IUCN è:,vulnerabile,minima preoccupazione,Sconosciuto,1
45,è lecito utilizzare esche avvelenate per il controllo della volpe,"no, mai",si,Solo previa autorizzazione della Polizia Provinciale,0
46,Quali danni può provocare la volpe nei confronti delle specie a interesse venatorio?,Le volpi incidono in maniera significativa sulla fauna migratoria quali tordo bottaccio e tordo sassello,Le volpi incidono in maniera significativa sulle popolazioni di cervo,"Le volpi incidono in maniera significativa sul numero della selvaggina immessa, soprattutto su fagiani e lepri",2
47,La fauna domestica di bassa corte:,Può rappresentare parte della dieta della volpe se non adeguatamente protetta,"è importante che venga protetta anche con reti anti predatorie, anche senza interramento della rete",è importante proteggerla solo in orario notturno in quanto la volpe ha abitudini prettamente notturne,0
48,Struttura sociale,Non vi è una gerarchia all'interno delle popolazioni di volpe,Esiste una gerarchia all'interno delle popolazioni della volpe che condividono lo stesso territorio e serve anche a stabilire le coppie ,Esiste una gerarchia all'interno delle popolazioni della volpe solo in periodo riproduttivo,1
49,Quali tra questi sono previsti come metodi ecologici (non cruenti) di controllo della volpe?,Cattura mediantte gabbie - trappola,Sospensione di immissione di selvaggina stanziale,Cattura con reti,1
50,Una gestione corretta dei rifiuti contribuisce a:,Ridurre il numero di volpi nelle aree urbane,Aumentare le volpi nelle zone agricole,Non ci sono differenze significative,0
51,Quale tra questi elementi favorisce l'incremento della popolazione della volpe?,Chiusura di centri ecologici e discariche,Immissione massiva di selvaggina di svariata provenienza,Disboscamento,1
52,Quale articolo della l.r. 26/93 della Lombardia dispone in merito al controllo della fauna selvatica?,articolo 21,articolo 31,articolo 41,2
53,"Cosa significa che la volpe è un animale ""opportunista""?",La sua dieta varia in base alla disponibilità di risorse trofiche,può anticipare e posticipare di molti mesi i periodi di estro e di calore,Può avere rapporti mutualistici con altre specie di canidi,0
54,In quale zone è opportuno attuare il controllo della volpe?,Nelle Zone di Ripopolamento e Cattura (ZRC),Nelle Oasi di Protezione,Esclusivamente nelle zone urbane,0
55,Il monitoraggio tramite fototrappole:,è una tecnica di monitoraggio invasiva,è utile per avere informazioni supplementari relative a sesso età e condizioni fisiche dei singoli individui,consente di posizionare le fototrappole in maniera casuale per avere dei risultati affidabili,1
56,Il monitoraggio delle volpi:,è utile solo per monitorare le malattie,è essenziale per capire la dinamica di popolazione,viene effettuato solo nel periodo primaverile,1
57,Quando è meglio effettuare il conteggio a vista delle tane attive?,Periodo primaverile,Periodo tardo estivo,Periodo autunnale,0
58,La rogna sarcoptica:,è una malattia specifica della sola volpe,può essere trasmessa ai mammiferi domestici e all'uomo,Non può essere trasmessa tramite contatto,1
59,Il controllo faunistico , è un intervento di natura eccezionale utile per ridurre danni temporalmente e spazialmente circoscritti. ,rappresenta una forma di utilizzo della fauna, è un intervento di routine utile per ridurre danni sul territorio,0
60,"l’uso di armi da fuoco senza limitazione di luogo, periodo ed orario  è concesso sempre",ai cacciatori solo se iscritti nell'ambito territoriale in cui si attua il controllo,ai proprietari dei fondi sui cui si attua il controllo del piccione di città,Ai componenti dei Corpi di Polizia Provinciale ,C